#,Как вас зовут?,Ваш юзернейм в Telegram,"Насколько вы удовлетворены, насколько участие в интенсиве решило ваши задачи? Где 10 — 100% удовлетворил, 0 — всё очень плохо.",Готовы ли вы оставить отзыв для сайта?,В чём ценность участия в интенсиве?,"Что нам стоит доработать, чтобы интенсив стал ещё ценнее?",Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags,Ending
9hrx7uptkad209x69hrx7ucrasyowjen,Татьяна,tanybezuglyak,8,1,"'- Начала вайбкодить, преодолела психологический барьер, который у меня был около полугода
- Написала скрипт, позволяющий начать вести канал в телеграмме. Тоже давно хочу, уже года 2 как, сейчас по первым постам вижу, что они достаточно хорошие. Скоро допилю и уже вижу, что можно закидывать их в канал. Напишите через 2-3 недели, оформим кейс, как я с помощью вайбкодинга начала вести канал ))
- Я исследователь-фрилансер и у меня куча текстовых данных, из которых я обычно сама по долгу руками делала аналитику и отчеты, помогала заказчикам с генерацией идей (следующая задача, после той, за которую мне платят). Сейчас с ИИшкой я могу выполнять уже следующую задачу: достаточно неплохо анализировать рынок, конкурентов, и на базе интервью генерировать гипотезы ценности с приоритезацией внедрения и проверки этих гипотез. Также, на основе проведенного исследования могу сразу сгенерировать лендинг или любую другу маркетинговую коммуникацию (например, сделать карточки на вайлдберис)
- Важно! Уже на курсе начала внедрять вайбкодинг и выполнение задач с ИИшкой в свою повседневную жизнь и это произошло очень легко","'- Для меня было бы супер, если б те файлы, которые мы делали на курсе высылали сильно заранее. Я бы их как минимум прочитала, а как максимум прошла самостоятельно в спокойном темпе, чтоб понимать, что происходит на курсе, а не просто копировать-вставить
- понимаю, что следующая задача для меня будет - это научится достаточно качественно писать промыты и запросы. Пока что чувствую, что очень по верхам это делаю. Вот сейчас есть гипотеза, что могла бы уже на курсе научиться или впитать логику, читая и проходя файлы заранее. Было бы классно этот навык начать развивать уже на курсе с ощущением понимания того, что я делаю. Пока что это не так",completed,2026-03-15 13:51:33,,2026-03-15 14:02:53,4cf47c9a14,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
axb1xqzgkba3x8zh87axb1xqzvcb1xaf,Евгений Курбатов,'@sapphinex,10,1,"Я пришел научиться быстро создавать и тестировать гипотезы. Этому научился. Но самое важное, что курс открыл мне глаза, как много своих работ я могу закрыть с помощью полученных знаний. Это как в компьютерной игре, когда у игрока открывается новая сверхспособность, которая меняет его и бустит достижение целей.","Иногда темп был быстрый и не успевал вливаться в контекст, а просто копипастил",completed,2026-03-15 13:50:38,,2026-03-15 13:58:27,3fa21657a6,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
9l09chunv0csqy78t9l09chuon422fb3,Андрей,'@andreykrasnl,8,1,Абсолютно иной навык для ускорения процессов и изменения собственной аутентификации,"1- интенсив вау
2 - на практике показано, что нейронка может считать по разному. И нужны скрипты
3-5. Скиллы, агенты, команды - больше представлены как фичи. Не всегда их ценность. КАк то хочется создавать контекст примеры, что тут нужно выбрать этот инструмент",completed,2026-03-15 13:49:53,,2026-03-15 13:54:12,6e1aa88565,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
m8vkpw2l00z28c5rm8vbu4gud0vx2lhw,Наталья,'@nch_v,10,1,В мягком структурированном старте в вайбкодинге,"Может быть добавить минут 20 самостоятельной работы в конце воркшопов со своим продуктом (где мы не используем свой продукт), на втором воркшопе я только успевала копировать промты ). Но это не обязательно, курс показал основное - как решать задачи вайбкодингом, все остальное - лишь фантазия и запрос в claude )",completed,2026-03-15 13:47:17,,2026-03-15 13:50:58,f4682542c7,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
hjkmplgv7s2n7zjjhjkpwzgwr8d6d2li,Тимур,'@mypryc,10,0,"Провели за ручку и дали огромное количество ИИ-навыков, до которых никогда бы не добрался сам. И это очень качественные глубокие навыки, подкрепленные методологией Вани и вашим реальным опытом. Почти уверен, что такой глубины на других курсах нет","Проработанные цепочки промптов для копирования это круто, т.к. можно доработать самостоятельно. Но для глубины  хотелось бы получить навык не только отдельных микроизменений в промптах, но и самостоятельного поиска/выстраивания всей цепочки, которая даст наилучший результат",completed,2026-03-15 13:47:17,,2026-03-15 14:05:44,f4eb10035f,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
rw45du2ledwn79n2s3urw45du0pqmdhm,Владимир Каменский,'@aidataquant,10,1,"Систематизация знаний и максимально актуальная информация. Выход на результат, буквально, за несколько первых воркшопов.","Модель continues education, когда остаешься в контексте всех новых возможностей. Может быть, это подписка на все обновления и проведение каких-то отдельных воркшопов. Ценность community. И также более широкий контекст именно создания продуктов - customer development, проверка гипотез, маркетинг, продажи, как выстроить взаимодействие с аудиторией и сделать продукт успешным.",completed,2026-03-15 13:47:15,,2026-03-15 13:57:45,bfb3d7a591,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
x2fu2lmrrllzm3ju3h0x2fslmfjibhml,Ева,https://t.me/melnikova_eva,10,0,"Понимание, как ускоряться и быть конкурентоспособным","Заранее направлять, что необходимо установить для всего  курса",completed,2026-03-15 13:47:12,,2026-03-15 13:48:38,cefaa3ae8c,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
7hx0tx1wo7gf8s87hx0u88bo1ksfyvtj,Сергей Леонтьев,'@BubbleWrapEnvelope,10,0,Вкатиться в вайбкодинг и научиться пользоваться ИИ-агентами,Всё понравилось,completed,2026-03-15 13:47:10,,2026-03-15 13:52:30,599aa6169f,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
8sj5kaqb7e6uwix8sj5kaiqut9k07yxz,Смирнов Сергей,'@Ser_Smirnov,10,1,"Основная ценность для меня - это осознание, что произошла революция во многих направлениях и профессиях. Мозг теперь все видит в другом свете, видит новые большие возможности.","Хочется больше деталей по работе с агентами и их группами. С уклоном в создание продукта. Например исследования, дизайн и тд.",completed,2026-02-26 14:16:45,,2026-02-26 16:05:24,4f02339ea8,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
rfde08gccu6kf6dfzkb1rfde0h3zg2ry,Любовь / @moiseevalyubov,'@moiseevalyubov,9,0,"Зименение перспективы сознания (скоринг каждодневных задач - а можно ли проще/быстрее), набор готовых инструментов и ""протокола"" действий. Набор промтов, которые можно дорабатывать под свои задачи","Добавить процесс по поддержке стартовых доков (не все ссылки работали, не все описания актуальные). Уделять чуть-чуть больше времени теории - что сейчас делаем, какой навык тренируем и что с помощью этого навыка научимся. Дальше каждый сможет додумать, как навык применять, а в моменте это было бы понятнее - быстро пробегали теорию",completed,2026-02-24 09:23:04,,2026-02-24 09:35:46,8b2bb1aa33,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
uo5wovr7de2aet3xp8nnuo5woe1spbid,Илья,'@i_amelin,8,0,,,completed,2026-02-23 14:25:55,,2026-02-23 14:26:29,9acce032ac,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
bpewwqrbj8b0vssxzbpezovtmet3s1xa,Аркадий Чуздюк,'@charims,8,1,"В короткий срок (буквально 1 неделя) можно погрузиться и изучить основные возможности вайбкодинга. Главный результат - уверенность в том, что теперь по сути любую свою задачу можно качественно решить с помощью нейросетей.","1. Необходимость в таком числе кураторов - не получил много ценности. Сейчас понимаю, что в целом мне было бы достаточно формата с записью занятий и промптами. Понимаю, что задачей кураторов в первую очередь было помочь в технических аспектах настроек. Но мне было бы полезнее, если бы кураторы как люди с бОльшим опытом показали разные варианты использования нейросетей - разные задачи, разные нейросети и тд
2. Воркшоп про агентов, который был в четверг - прошел слабее, чем воркшопы до этого, где основным спикером был Ваня Замесин. Тут хотелось бы более уверенных/подготовленных спикеров на замену. Либо из-за этого, либо из-за того что тема новая (или неясно была раскрыта), именно с агентами и правилами возникло больше всего непонимания - как правильно делать, для чего, как формировать отдел из агентов. Но в целом на предпоследнем воркшопе было больше раскрыто про работу агентов.
3. В дополнение к п.1 - кураторы часто говорили ""спрашивайте любые вопросы по своим проектам, но вопросов было оч мало от участников. По себе могу сказать, что было непонятно - а какие вопросы мне надо задать, чтобы хорошо все сделать? Тут бы не помешали примеры вопросов, которые важно задать.",completed,2026-02-23 11:27:46,,2026-02-23 11:39:34,ce261abc4c,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
dbeh5lpp5bxzsdbezgjcaeprd46gqqfz,Марина Трофимова,'@maridelmar08,10,1,"Для меня имело очень большую ценность то, что мне в такой короткий срок помогли практически с нуля освоить инструмент, который я сразу же смогла использовать в своей динамичной рабочей среде. Так же очень понравилось многообразие заданий, которые мы использовали на курсе, потому что каждый из них было мне полезно для адаптации под мои рабочие и личные задачи. И, безусловно, обратная связь кураторов, их помощь и ответы на вопросы добавили очень много ясности в работу с инструментом.","Чисто субъективное впечатление, которое не несет какую-либо негативную оценку: хотелось бы уделить чуть больше времени последним двум темам про агентов и скиллы, потому что она очень важна для автоматизации работы. При том, лично мне было немного сложно в тех временных ограничениях глубинно вникать в задание+промпты, параллельно выполнять это в Claude Code, слушать куратора и писать в чат ОС. Как будто немного не хватило времени, чтобы без спешки освоить эту тему. Но тем не менее, на выходе благодаря ответам куратора на вопросы + самостоятельной работе, мне кажется, я вполне разобралась.",completed,2026-02-22 11:54:23,,2026-02-22 12:01:23,09a8d2bf10,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
lgleyagpoknsle897c6ltenafwi6hb8e,Лера,'@lera_shpanko,9,1,"Убедиться, что я могу идти в ногу со временем","У меня не совсем сложилось ожидание - реальность из-за смены тем воркшопов после покупки и в процессе недели обучения. К примеру, я задавала вопросы про MCP и возможность получать артефакт (диаграмму) в фиджеме как аутпут и кураторы говорили, что это еще будет, но не наступило. Но не могу сказать, что это повлияло на мое общее впечатление, потому что первые 2 потока были максимально понятно предупреждены, что на нас будут обкатывать программу, и я осознанно шла на 2й поток, а не на 3й или далее",completed,2026-02-22 11:48:13,,2026-02-22 11:54:52,b6cffe4d8e,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
e3ng4q251z9go9etwwznm3ve3ng4q2bd,Даурен Касенов,'@daurenkas,10,1,"Если коротко — это пинок с сопровождением. Именно так.
Курс не просто сталкивает тебя в пропасть будущего и машет ручкой — он берёт за руку и проводит через всё это. Вот ты вроде ничего не умел, а через день у тебя работающий продукт на своём сервере. Магия? Нет, просто правильно выстроенный процесс.
Мир сейчас меняется с бешеной скоростью. И в этом мире критически важно быстро осваивать навыки и сразу применять их в работе — не через полгода, не «когда-нибудь потом», а вот прямо сейчас. BOOST даёт именно это.
Но самое ценное для меня — это сдвиг в голове. Ты начинаешь понимать, как трансформируется твоя роль. Ты больше не просто участник процесса, не просто человек, который делает задачки. Ты становишься архитектором. Создаёшь целый мир, в котором у тебя есть цифровые персонажи — агенты со своими скиллами. Они работают и поодиночке, и командой, и достигают результата за минимально короткий срок. Это реально мощное ощущение.
Я до этого проходил курс Вани Замесина «Как делать продукт» — и он заложил правильное продуктовое мышление. А BOOST как раз помогает создавать архитектуру решений, построенных на этом мышлении. Фреймворк Advanced JTBD здесь работает вживую — и это очень важно.
Настолько важно, что как минимум один аналитик из моей команды по моей рекомендации уже идёт покупать курс «Как делать продукт». А я сам купил курс Ильи Красинского — потому что неоднократно слышал, что в связке с курсами Вани он даёт ещё более объёмное продуктовое мышление.
Правильный вайбкодинг + правильное продуктовое мышление = качественные продукты, классный мир вокруг и, честно, ощущение счастья от того, что ты создаёшь.
Короче, если думаете — идите. Это тот самый пинок, который вам нужен. Но с заботливым сопровождением.","Разделить на уровни по сложности — это раз. Ваня сам уже озвучивал эту идею на курсе, и я с ним полностью согласен — это бы очень помогло. Я бы с удовольствием пошёл на продвинутые уровни, с учётом того, что первый уже прошёл.
А ещё адаптировать обучение под конкретные сферы — это два. Сейчас всё идёт одним потоком, а это две разные точки роста. И кураторов набирать из этих же сфер — чтобы они понимали контекст изнутри.
Простой пример: для юридической отрасли помощь по вайбкодингу должна быть заточена именно под юристов. Это люди, которые обладают глубокой экспертизой, но погрязли в рутине и не могут из неё выбраться. Вайбкодинг для них — это не про «сделать стартап», а про то, чтобы наконец автоматизировать то, что съедает время и силы.
У каждой сферы свои боли. И если интенсив научится говорить на языке этих болей — это будет не просто совсем другой уровень. Это будет билет в IT для тех сфер, которые в массе своей всегда были очень далеки от технологий. Юристы, врачи, строители, логисты — им эта грамотность нужна как воздух, просто раньше не было нормального входа. А здесь он может появиться. Самые крупные и перспективные отрасли с хорошим рынком точно стоит закрыть первыми.",completed,2026-02-21 14:29:48,,2026-02-21 14:41:57,2a05bfb873,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
d7khashn67gycgtid7khasyy28vhbf5t,Олег Киселев,'@obkiselev,10,1,"Плюс интенсива - его продолжительность длиной в одну неделю. На интенсиве дается необходимая база, на основе которой потом понимаешь что и как нужно делать дальше.",'-,completed,2026-02-21 14:22:53,,2026-02-21 14:27:46,83960f6818,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
4x7uw334219jpmk0np4x7uodroukuh1l,Илья Филимоненков,'@ilyafilim,10,1,"В расширении моего взгляда на сферу применения ИИ-инструментов
В шеринге промптов и скиллов для Клода
В коммьюнити, которое горит общим делом","Исключить время на настройку системы для пользователей, кто не уверенно владеет ПК в 2026 году. Нулевой вокршоп не решил проблем пользователей, позже тратилось время на решение индвидуальных проблем с настройкой (не учитываю проблемы, которые были уже по заданиям, которые решались в сессионных залах -- это ОК)",completed,2026-02-21 14:18:47,,2026-02-21 14:22:06,aeab3146f2,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
1uha9r6f71d1uhannb6hkvr5ql2u3pse,Артем Царев,'@taerr,10,0,"Ожидал совсем другое. Основная ценность по итогу - скрипты, ИИ агенты, арена агентов)","Не хватило именно части по созданию продукта от начала до конца. Если эти кейсы слишком технические, то как-то инструкции хотя бы. Понятно, что мы задеплоили в интернет и это классно. Но не хватило:
1) гит
2) бекапы
3) а где получать этот сервер, да и домен
4) вот нас взломали, а что с таким делать в реальной жизни ?
5) а что с мобильными приложениями?
6) как делать верстку, чтобы не плыла при разных экранах
В общем. Не хватило именно технической части. Мы тут в основном продакты, которые в этом не сильны",completed,2026-02-21 14:17:26,,2026-02-21 14:22:51,ddfdc76baa,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
3k4azve0njb68s6g3k4az1xnpyj1evp6,Стас,'@sks0063,10,1,Создал крутую road map для себя,"При обучении много окон. И вы говорите много интересного и показываете, а в это время мы делаем работу. Оба занятия важны.",completed,2026-02-21 14:13:47,,2026-02-21 14:17:28,6d716ea94a,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
zmpnqhadco04i3e7zmpqepu7nt82d8n2,Илья,'@ilyarublevsky,10,1,"Раскрывает возможность делать то, что хочешь, без технического бэкграунда.","Ничего, просто следите за трендами",completed,2026-02-21 14:13:37,,2026-02-21 14:14:23,01ea1d6ef3,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
rvleh5ak2mslk2dwsrvleh5vxbhwubwd,Оксана Бакланова,'@oksana_baklanova,10,1,Быстро освоить новый навык. Преодолеть барьер входа в вайб-кодинг,Добавить еще немного про МСР и дип-дайв в сложные штуки как доп тариф для про. Вообще хочется наверное пойти на следующий уровень и освоить более сложные уровни владения вайб-кодингом,completed,2026-02-21 14:13:36,,2026-02-21 14:27:17,02d61baef5,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
6a1we4951vn5sha3i6a1wezb7ygrq6a6,Сергей,'@Artamonychev,10,1,"Уникальные навыки, которые будто открывают дверь в новый, дивный мир)","Только постоянно обновлять информацию, потому что направление развивается на первой космической",completed,2026-02-21 14:13:19,,2026-02-21 14:20:02,b916f9fd95,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
t77f3jqijccjpffya0vwt77f3jquyzlf,Ilya Zhukov,ilya_boeing,9,1,"Быстро влиться в тулы и заинтересоваться темой так, что забывал поесть","Для меня не подходило время, хочется чтобы это было на английском (моя команда говорит на английском), в целом можно самому писать промбты и задавать вопросы после написания (может нужны домашки и разборы полетов) а то у кого-то что-то не заводится на это много времени уходит (но я пропустил части с работой в группах), может чуть более крутая объяснительная модель с визуализациями для теоретических частей, чтобы лучше запомнилось и проще понялось",completed,2026-02-21 14:13:07,,2026-02-21 14:17:55,c4e1578cfd,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
7izzyg16o0f945owl1q67izzyg165hra,Татьяна Цивлина,'@tsivlina,10,1,"действительно снимает барьер и дает подступиться к ИИ и автоматизации если не рабочих задач, то скучной рутины точно","точно нужно учесть проблемы, о которых писали участники в процессе, где-то дописать чуть гайды; может быть добавить список best practice после каждого урока",completed,2026-02-21 14:13:00,,2026-02-21 14:18:33,4ba5be8f6f,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
04qof8sgegpnior3l04qof85sijzxwii,Оксана,'@novaport,9,1,"Живой формат, гайды с реальными продуктовым применением, пошаговый план. Понравилось чёткость воркшопа по времени, было комфортно распределено по неделе и выходным, я переживала за это, оказалось прекрасно","Хотелось бы 1. иметь гайд как работать с интерфейсом курсора, где что добавлять, конечно, это можно загуглить (но всё же)). Хотелось бы больше фокуса или гайд про подготовительный этап проектов со стороны кодинга. Первые уроки были очень интенсивные, сначала сложно было успевать и переваривать всё сразу",completed,2026-02-21 14:12:54,,2026-02-21 14:23:45,d80aeeaa5b,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
lyqe5kfx1hi1bwmplyqe58jjeixlywww,Настя,'@aavtukhova,10,1,,"хотя это формат цепляет своей легкостью, можно было бы давать дз. Ровно по тому, что мы сделали на вокршопе, но под себя, чтобы нужно было написать промпты с нуля (ну почти с нуля).  Кураторов много, как будто было бы больше качественного с ними взаимодействия. 

Это нагрузка, но когда не просто копипастить на скорости, а потом вдумываешься как написан промпт, сам пишешь - нужно чуть больше времени. 

Но больше я думала про то, как потом изменится курс ""Как делать продукт"", если ученики будут на курсе сразу вайбкодить))",completed,2026-02-21 14:12:47,,2026-02-21 14:18:28,f994a6a00a,,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful"
